season,site,tree,latitude,longitude,elevation,higth,diameter,volume,distance_to_NN_20km,reproduction,reproduction_prop,est_n_fruits,pre_female,early_female,late_female,early_interph,late_interph,early_male,late_male,total_syconia,synchrony, damaged_syconia,counted_syconia
F2013,95,44W,26.35367202,-111.800884,250.15,8,4,536.1651462,0.108,Yes,0.625,335.1032164,0,0,0,12,24,7,0,43,2.404421326,0,60
F2013,95,45,26.35426302,-111.801354,250.3,7,5,733.0382858,0.142,Yes,0.0001,0.073303829,0,0,0,16,27,0,0,43,1.87715736,0,60
F2013,95,46,26.35430996,-111.801425,250.88,5.5,4,368.613538,0.15,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,47,26.35445204,-111.801615,251.46,17.5,7.5,4123.340358,0.147,Yes,0.0001,0.412334036,16,0,6,0,17,9,1,49,3.621417798,2,60
F2013,95,48,26.35698698,-111.803183,257.74,12,3,452.3893421,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,49,26.35691003,-111.803059,258.92,20,10,8377.58041,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,5,26.3571609,-111.8031369,266.89,NA,NA,NA,0.042,Yes,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,50,26.35689301,-111.803092,259.43,13,8.5,3934.3212,0.054,Yes,0.0001,0.39343212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,51,26.35686502,-111.803084,259.42,6.5,3,245.044227,0.058,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,52,26.35681003,-111.803093,260.98,14,6.5,2477.669406,0.062,Yes,0.15,371.6504109,0,0,0,0,26,4,8,38,1.91005291,0,60
F2013,95,53,26.35643302,-111.802659,263.61,15,10,6283.185307,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,54,26.35633302,-111.802658,263.52,15,8,4021.238597,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,55,26.35617603,-111.802462,267.03,17,8,4557.403743,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,56,26.35591996,-111.802301,265.13,14.5,8.5,4388.281338,0.134,Yes,0.025,109.7070335,0,0,0,18,17,18,0,53,2.997865528,3,60
F2013,95,57,26.355784,-111.802208,265.22,12,7,2463.00864,0.149,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,58,26.35570999,-111.802141,265.22,13,7.5,3063.052837,0.155,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,59,26.35567797,-111.802057,265.23,18,10.5,8312.654161,0.163,Yes,NA,NA,0,0,2,3,37,23,4,69,2.470679813,0,60
F2013,95,6,26.35710181,-111.8029973,272.18,NA,NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
